month,location,Violence and sexual offences,Anti-social behaviour,Public order,Criminal damage and arson,Other theft,Vehicle crime,Burglary,Shoplifting,Bicycle theft,Drugs,Robbery,Other crime,Theft from the person,Possession of weapons,force_name,force_area,population2021,population density,safe_index
2019-09-01,south-wales,3625,2254.0,1156.0,1030.0,830.0,635.0,566.0,804.0,170.0,378.0,49.0,183.0,81.0,70.0,south-wales,2074.0,1317000,635.0048216,0.17068853978858664
2019-09-01,south-yorkshire,4291,2262.0,1180.0,1356.0,1129.0,1226.0,1309.0,834.0,82.0,306.0,136.0,346.0,133.0,155.0,south-yorkshire,1554.0,1375100,884.8777349,0.1579872212525115
2019-09-01,staffordshire,2162,2667.0,322.0,637.0,617.0,337.0,316.0,575.0,84.0,118.0,55.0,112.0,38.0,37.0,staffordshire,2713.0,1134500,418.1717656,0.15353633904707004
2019-09-01,suffolk,2112,683.0,537.0,586.0,375.0,361.0,247.0,359.0,141.0,189.0,46.0,96.0,54.0,48.0,suffolk,3797.0,760300,200.2370292,0.3044297622465571
2019-09-01,surrey,2162,1843.0,733.0,802.0,648.0,622.0,496.0,358.0,116.0,233.0,34.0,159.0,56.0,71.0,surrey,1663.0,1203100,723.4515935,0.09941488935504465
2019-09-01,sussex,3995,2918.0,1040.0,1140.0,951.0,910.0,662.0,832.0,239.0,355.0,85.0,164.0,115.0,165.0,sussex,3783.0,1705700,450.8855406,0.26754019623288233
2019-09-01,thames-valley,4979,2423.0,757.0,1606.0,1634.0,1439.0,900.0,1143.0,609.0,495.0,140.0,274.0,300.0,176.0,thames-valley,5742.0,2515100,438.0181122,0.3672095863207257
2019-09-01,warwickshire,1395,1016.0,202.0,307.0,374.0,411.0,305.0,300.0,73.0,67.0,46.0,61.0,25.0,42.0,warwickshire,1975.0,596800,302.1772152,0.1360420437059898
2019-09-01,west-mercia,3358,3289.0,499.0,834.0,632.0,476.0,550.0,553.0,79.0,193.0,53.0,129.0,53.0,59.0,west-mercia,7428.0,1299900,175.0,0.5421929794993875
2019-09-01,west-midlands,7805,2895.0,1455.0,1949.0,1621.0,2577.0,1880.0,1145.0,243.0,464.0,691.0,301.0,210.0,282.0,west-midlands,902.0,2919600,3236.807095,0.07237621769383135
2019-09-01,west-yorkshire,9658,3887.0,2718.0,2549.0,2000.0,1754.0,1763.0,1625.0,209.0,563.0,318.0,614.0,321.0,194.0,west-yorkshire,2029.0,2351600,1158.994579,0.24381792746646716
2019-09-01,wiltshire,1411,1342.0,275.0,465.0,395.0,222.0,248.0,375.0,76.0,109.0,32.0,36.0,38.0,29.0,wiltshire,3490.0,743800,213.1232092,0.20442348528999701
